publisher,filename,match,prod_slug,page_title,year,pdf_url,source_url
forum-of-free-enterprise,the-japanese-econoic-miracle-j-h-doshi-march-12-1972.pdf,exact,the-japanese-economic-miracle-by-j-h-doshi-march-12-1972,"The Japanese Economic Miracle by J.H.Doshi (March 12, 1972)",1972,https://indianliberals.in/forum-of-free-enterprise/the-japanese-econoic-miracle-j-h-doshi-march-12-1972.pdf,https://indianliberals.in/content/the-japanese-economic-miracle-by-j-h-doshi-march-12-1972/
forum-of-free-enterprise,the-juggernaut-of-avadi-by-ma-sreenivasan-1956.pdf,exact,the-juggernaut-of-avadi-by-m-a-sreenivasan-1956,The Juggernaut of Avadi by M.A. Sreenivasan (1956),1956,https://indianliberals.in/forum-of-free-enterprise/the-juggernaut-of-avadi-by-ma-sreenivasan-1956.pdf,https://indianliberals.in/content/the-juggernaut-of-avadi-by-m-a-sreenivasan-1956/
forum-of-free-enterprise,the-light-of-the-constitution-n-a-palkhivala-october-20-1976.pdf,exact,the-light-of-the-constitution-by-n-a-palkhivala-october-20-1976,"The Light Of The Constitution by N. A. Palkhivala (October 20, 1976)",1976,https://indianliberals.in/forum-of-free-enterprise/the-light-of-the-constitution-n-a-palkhivala-october-20-1976.pdf,https://indianliberals.in/content/the-light-of-the-constitution-by-n-a-palkhivala-october-20-1976/
forum-of-free-enterprise,the-menace-of-inflation-n-dandekar-january-8-1961.pdf,exact,the-menace-of-inflation-by-n-dandekar-i-c-s-8-january-1961,The Menace of Inflation by N. Dandekar I.C.S. (8 January 1961),1961,https://indianliberals.in/forum-of-free-enterprise/the-menace-of-inflation-n-dandekar-january-8-1961.pdf,https://indianliberals.in/content/the-menace-of-inflation-by-n-dandekar-i-c-s-8-january-1961/
forum-of-free-enterprise,the-mess-we-are-in-n-a-palkhivala-11-august-1974.pdf,exact,the-mess-we-are-in-by-n-a-palkhivala-11-august-1974,The Mess We Are In by N. A. Palkhivala (11 August 1974),1974,https://indianliberals.in/forum-of-free-enterprise/the-mess-we-are-in-n-a-palkhivala-11-august-1974.pdf,https://indianliberals.in/content/the-mess-we-are-in-by-n-a-palkhivala-11-august-1974/
forum-of-free-enterprise,the-national-telecom-policy-and-its-implementation.pdf,exact,the-national-telecom-policy-and-its-implementation,The National Telecom Policy and Its Implementation,2021,https://indianliberals.in/forum-of-free-enterprise/the-national-telecom-policy-and-its-implementation.pdf,https://indianliberals.in/content/the-national-telecom-policy-and-its-implementation/
forum-of-free-enterprise,the-need-for-economic-statesmanship-s-l-kirloskar-december-10-1969.pdf,exact,the-need-for-economic-statemanship-by-s-l-kirloskar-10-december-1969,The Need for Economic Statemanship by S.L. Kirloskar (10 December 1969),1969,https://indianliberals.in/forum-of-free-enterprise/the-need-for-economic-statesmanship-s-l-kirloskar-december-10-1969.pdf,https://indianliberals.in/content/the-need-for-economic-statemanship-by-s-l-kirloskar-10-december-1969/
forum-of-free-enterprise,the-new-class-in-a-state-dominated-economy-by-mh-moody-1980.pdf,exact,the-new-class-in-a-state-dominated-economy-by-m-h-moody-december-1980,"""The New Class"" in a State dominated Economy by M. H. Moody (December, 1980)",1980,https://indianliberals.in/forum-of-free-enterprise/the-new-class-in-a-state-dominated-economy-by-mh-moody-1980.pdf,https://indianliberals.in/content/the-new-class-in-a-state-dominated-economy-by-m-h-moody-december-1980/
forum-of-free-enterprise,the-new-class-in-state-dominated-economy-m-h-mody-october-15-1981.pdf,exact,the-new-class-in-state-dominated-economy-by-m-h-mody-15-october-1981,The New Class in State dominated Economy by M.H. Mody (15 October 1981),1981,https://indianliberals.in/forum-of-free-enterprise/the-new-class-in-state-dominated-economy-m-h-mody-october-15-1981.pdf,https://indianliberals.in/content/the-new-class-in-state-dominated-economy-by-m-h-mody-15-october-1981/
forum-of-free-enterprise,the-new-gold-policy-b-s-mahajan-d-r-pendse-gangadhar-gadgil-and-s-n-sonawala-may-14-1978.pdf,exact,the-new-gold-policy-by-b-s-mahajan-d-r-pendse-prof-gangadhar-gadgil-and-s-n-sonawala-may-14-1978,"The New Gold Policy by B. S. Mahajan, D.R. Pendse, Prof. Gangadhar Gadgil and S.N. Sonawala (May 14, 1978)",1978,https://indianliberals.in/forum-of-free-enterprise/the-new-gold-policy-b-s-mahajan-d-r-pendse-gangadhar-gadgil-and-s-n-sonawala-may-14-1978.pdf,https://indianliberals.in/content/the-new-gold-policy-by-b-s-mahajan-d-r-pendse-prof-gangadhar-gadgil-and-s-n-sonawala-may-14-1978/
forum-of-free-enterprise,the-new-pattern-of-taxation-a-d-shroff-apr6-1958.pdf,exact,the-new-pattern-of-taxation-and-its-impact-on-the-indian-economy-by-a-d-shroff-apr-6-1958,"The New Pattern of Taxation and Its Impact on the Indian Economy by A. D. Shroff (April 6, 1958)",1958,https://indianliberals.in/forum-of-free-enterprise/the-new-pattern-of-taxation-a-d-shroff-apr6-1958.pdf,https://indianliberals.in/content/the-new-pattern-of-taxation-and-its-impact-on-the-indian-economy-by-a-d-shroff-apr-6-1958/
forum-of-free-enterprise,the-next-phase-of-transformation-i-nomics-piya-mahtaney.pdf,exact,the-next-phase-of-transformation-i-nomics-by-piya-mahtaney-november-2016,The Next Phase of Transformation – I – Nomics by Piya Mahtaney (November 2016),2016,https://indianliberals.in/forum-of-free-enterprise/the-next-phase-of-transformation-i-nomics-piya-mahtaney.pdf,https://indianliberals.in/content/the-next-phase-of-transformation-i-nomics-by-piya-mahtaney-november-2016/
forum-of-free-enterprise,the-oil-crisis-in-india-prof-guruprasad-murthy-january-15-1974.pdf,exact,the-oil-crisis-in-india-by-prof-guruprasad-murthy-january-15-1974,"The Oil Crisis in India by Prof. Guruprasad Murthy (January 15, 1974)",1974,https://indianliberals.in/forum-of-free-enterprise/the-oil-crisis-in-india-prof-guruprasad-murthy-january-15-1974.pdf,https://indianliberals.in/content/the-oil-crisis-in-india-by-prof-guruprasad-murthy-january-15-1974/
forum-of-free-enterprise,the-place-of-free-enterprise-in-a-backward-economy-by-dn-hosali.pdf,exact,the-place-of-free-enterprise-in-a-backward-economy-by-d-n-hosali,The Place Of Free Enterprise In A Backward Economy by D.N. Hosali,2021,https://indianliberals.in/forum-of-free-enterprise/the-place-of-free-enterprise-in-a-backward-economy-by-dn-hosali.pdf,https://indianliberals.in/content/the-place-of-free-enterprise-in-a-backward-economy-by-d-n-hosali/
forum-of-free-enterprise,the-planning-commission-&-parkinson-s-law-by-touchstone-june-23-1960.pdf,exact,the-planning-commission-parkinsons-law-by-touchstone-june-23-1960,"The Planning Commission & Parkinson's Law by Touchstone (June 23, 1960)",1960,https://indianliberals.in/forum-of-free-enterprise/the-planning-commission-&-parkinson-s-law-by-touchstone-june-23-1960.pdf,https://indianliberals.in/content/the-planning-commission-parkinsons-law-by-touchstone-june-23-1960/
forum-of-free-enterprise,the-population problem-b-k-tandon-15-may-1975.pdf,fuzzy100,the-population-problem-by-dr-b-k-tandon-15-may-1975,The Population Problem by Dr. B. K. Tandon (15 May 1975),1975,https://indianliberals.in/forum-of-free-enterprise/the-population%20problem-b-k-tandon-15-may-1975.pdf,https://indianliberals.in/content/the-population-problem-by-dr-b-k-tandon-15-may-1975/
forum-of-free-enterprise,the-position-of-directors-under-the-companies-act-k-venkoba-rao-september-8-1962.pdf,exact,the-position-of-directors-under-the-companies-act-by-k-venkoba-rao-8-september-1962,The position of Directors under the Companies Act by K. Venkoba Rao (8 September 1962),1962,https://indianliberals.in/forum-of-free-enterprise/the-position-of-directors-under-the-companies-act-k-venkoba-rao-september-8-1962.pdf,https://indianliberals.in/content/the-position-of-directors-under-the-companies-act-by-k-venkoba-rao-8-september-1962/
forum-of-free-enterprise,the-power-crisis-p-m-agerwala-30th-april-1973.pdf,exact,the-power-crisis-by-p-m-agerwala-30th-april-1973,The Power Crisis by P. M. Agerwala (30th April 1973),1973,https://indianliberals.in/forum-of-free-enterprise/the-power-crisis-p-m-agerwala-30th-april-1973.pdf,https://indianliberals.in/content/the-power-crisis-by-p-m-agerwala-30th-april-1973/
forum-of-free-enterprise,the-power-problem-in-india-a-s-joshi-and-m-s-padmanabhan-december-13-1979.pdf,exact,the-power-problem-in-india-by-a-s-joshi-and-m-s-padmanabhan-december-13-1979,"The Power Problem In India by A. S. Joshi and M. S. Padmanabhan (December 13, 1979)",1979,https://indianliberals.in/forum-of-free-enterprise/the-power-problem-in-india-a-s-joshi-and-m-s-padmanabhan-december-13-1979.pdf,https://indianliberals.in/content/the-power-problem-in-india-by-a-s-joshi-and-m-s-padmanabhan-december-13-1979/
forum-of-free-enterprise,the-privatisation-phenomenon-and-its-relevance-to-developing-countries-by-J-K-Mukhopadhyay-July-15-1988.pdf,fuzzy99,the-privatisation-phenomenon-and-its-relevance-to-developing-countries-by-jiban-k-mukhopadhyay-july-15-1988,"The Privatisation Phenomenon and Its Relevance to Developing Countries by Jiban K. Mukhopadhyay (July 15, 1988)",1988,https://indianliberals.in/forum-of-free-enterprise/the-privatisation-phenomenon-jiban-k-mukhopadhyay-july-1988.pdf,https://indianliberals.in/content/the-privatisation-phenomenon-and-its-relevance-to-developing-countries-by-jiban-k-mukhopadhyay-july-15-1988/
forum-of-free-enterprise,the-privatisation-phenomenon-jiban-k-mukhopadhyay-july-1988.pdf,exact,the-privatisation-phenomenon-and-its-relevance-to-developing-countries-by-jiban-k-mukhopadhyay-july-15-1988,"The Privatisation Phenomenon and Its Relevance to Developing Countries by Jiban K. Mukhopadhyay (July 15, 1988)",1988,https://indianliberals.in/forum-of-free-enterprise/the-privatisation-phenomenon-jiban-k-mukhopadhyay-july-1988.pdf,https://indianliberals.in/content/the-privatisation-phenomenon-and-its-relevance-to-developing-countries-by-jiban-k-mukhopadhyay-july-15-1988/
forum-of-free-enterprise,the-problem-of-foreign-exchange-by-prof-cn-vakil-may-8-1961.pdf,exact,the-problem-of-foreign-exchange-by-prof-c-n-vakil-may-8-1961,"The Problem of Foreign Exchange by Prof. C.N. Vakil (May 8, 1961)",1961,https://indianliberals.in/forum-of-free-enterprise/the-problem-of-foreign-exchange-by-prof-cn-vakil-may-8-1961.pdf,https://indianliberals.in/content/the-problem-of-foreign-exchange-by-prof-c-n-vakil-may-8-1961/
forum-of-free-enterprise,the-problem-of-rising-prices-causes-a-s-bhaskar-aug9-1964.pdf,exact,the-problem-of-rising-prices-causes-and-remedy-by-a-s-bhaskar-aug-9-1964,"The Problem of Rising Prices - Causes and Remedy by A. S. Bhaskar (August 9, 1964)",1964,https://indianliberals.in/forum-of-free-enterprise/the-problem-of-rising-prices-causes-a-s-bhaskar-aug9-1964.pdf,https://indianliberals.in/content/the-problem-of-rising-prices-causes-and-remedy-by-a-s-bhaskar-aug-9-1964/
forum-of-free-enterprise,the-problem-of-rising-prices-g-d-somani-oct5-1963.pdf,exact,the-problem-of-rising-prices-by-g-d-somani-oct-5-1963,"The Problem of Rising Prices by G. D. Somani (October 5, 1963)",1963,https://indianliberals.in/forum-of-free-enterprise/the-problem-of-rising-prices-g-d-somani-oct5-1963.pdf,https://indianliberals.in/content/the-problem-of-rising-prices-by-g-d-somani-oct-5-1963/
forum-of-free-enterprise,the-public-sector-a-managers-report-p-c-lal-november-15-1976.pdf,exact,the-public-sector-a-managers-report-by-p-c-lal-november-15-1976,"The Public Sector - A Manager's Report by P. C. Lal (November 15, 1976)",1976,https://indianliberals.in/forum-of-free-enterprise/the-public-sector-a-managers-report-p-c-lal-november-15-1976.pdf,https://indianliberals.in/content/the-public-sector-a-managers-report-by-p-c-lal-november-15-1976/
forum-of-free-enterprise,the-reform-of-the-judiciary-justice-h-r-khanna-october-15-1980.pdf,exact,the-reform-of-the-judiciary-by-justice-h-r-khanna-15-october-1980,The reform of the Judiciary by Justice H.R. Khanna (15 October 1980),1980,https://indianliberals.in/forum-of-free-enterprise/the-reform-of-the-judiciary-justice-h-r-khanna-october-15-1980.pdf,https://indianliberals.in/content/the-reform-of-the-judiciary-by-justice-h-r-khanna-15-october-1980/
forum-of-free-enterprise,the-role-of-a-professional-in-society-y-h-malegam-september-12-2006.pdf,exact,the-role-of-a-professional-in-society-by-y-h-malegam-september-12-2006,"The Role of a Professional in Society by Y.H. Malegam (September 12, 2006)",2006,https://indianliberals.in/forum-of-free-enterprise/the-role-of-a-professional-in-society-y-h-malegam-september-12-2006.pdf,https://indianliberals.in/content/the-role-of-a-professional-in-society-by-y-h-malegam-september-12-2006/
forum-of-free-enterprise,the-role-of-free-enterprise-by-mr-masani-september-21-1956.pdf,exact,the-role-of-free-enterprise-by-m-r-masani-september-21-1956,"The Role of Free Enterprise by M.R. Masani (September 21, 1956)",1956,https://indianliberals.in/forum-of-free-enterprise/the-role-of-free-enterprise-by-mr-masani-september-21-1956.pdf,https://indianliberals.in/content/the-role-of-free-enterprise-by-m-r-masani-september-21-1956/
forum-of-free-enterprise,the-role-of-judiciary-in-parliamentary-democracy-m-c-chagla-january-4-2011.pdf,exact,the-role-of-the-judiciary-in-parliamentary-democracy-by-m-c-chagla-january-4-2011,"The Role of the Judiciary in Parliamentary Democracy by M. C. Chagla (January 4, 2011)",2011,https://indianliberals.in/forum-of-free-enterprise/the-role-of-judiciary-in-parliamentary-democracy-m-c-chagla-january-4-2011.pdf,https://indianliberals.in/content/the-role-of-the-judiciary-in-parliamentary-democracy-by-m-c-chagla-january-4-2011/
forum-of-free-enterprise,the-role-of-labour-in-japanese-economic-miracle-james-d-hodgson-june-14-1978.pdf,exact,the-role-of-labour-in-japanese-economic-miracle-by-james-d-hodgson-june-14-1978,"The Role Of Labour In Japanese Economic Miracle by James D. Hodgson (June 14, 1978)",1978,https://indianliberals.in/forum-of-free-enterprise/the-role-of-labour-in-japanese-economic-miracle-james-d-hodgson-june-14-1978.pdf,https://indianliberals.in/content/the-role-of-labour-in-japanese-economic-miracle-by-james-d-hodgson-june-14-1978/
forum-of-free-enterprise,the-role-of-the-central-banking-authority-and-commercial-bank-in-a-planned-economy-h-v-r-iengar-december-6-1967.pdf,exact,the-role-of-the-central-banking-authority-and-commercial-banks-in-a-planned-economy-by-mr-h-v-r-iengar-6-december-1967,The Role of the Central Banking Authority and Commercial Banks in a Planned Economy by Mr. H.V.R Iengar (6 December 1967),1967,https://indianliberals.in/forum-of-free-enterprise/the-role-of-the-central-banking-authority-and-commercial-bank-in-a-planned-economy-h-v-r-iengar-december-6-1967.pdf,https://indianliberals.in/content/the-role-of-the-central-banking-authority-and-commercial-banks-in-a-planned-economy-by-mr-h-v-r-iengar-6-december-1967/
forum-of-free-enterprise,the-role-of-the-judiciary-in-parliamentary-democracy-m-c-chagla-28-october-1974.pdf,exact,the-role-of-the-judiciary-in-parliamentary-democracy-by-m-c-chagla-28-october-1974,The Role of the Judiciary in Parliamentary democracy by M. C. Chagla (28 October 1974),1974,https://indianliberals.in/forum-of-free-enterprise/the-role-of-the-judiciary-in-parliamentary-democracy-m-c-chagla-28-october-1974.pdf,https://indianliberals.in/content/the-role-of-the-judiciary-in-parliamentary-democracy-by-m-c-chagla-28-october-1974/
forum-of-free-enterprise,the-state-of-the-nation-the-four-costly-mistakes-n-a-palkhivala-november-20-1982.pdf,exact,the-state-of-the-nation-the-four-costly-failures-by-n-a-palkhivala-20-november-1982,The State of the Nation: The four costly Failures by N.A. Palkhivala (20 November 1982),1982,https://indianliberals.in/forum-of-free-enterprise/the-state-of-the-nation-the-four-costly-mistakes-n-a-palkhivala-november-20-1982.pdf,https://indianliberals.in/content/the-state-of-the-nation-the-four-costly-failures-by-n-a-palkhivala-20-november-1982/
forum-of-free-enterprise,the-stock-exchanges-in-india-the-emerging-scenarios-and-challenges-g-a-patel-may-11-1987.pdf,exact,the-stock-exchanges-in-india-the-emerging-scenarios-and-challenges-by-mr-g-a-patel-11-may-1987,The Stock Exchanges in India- The Emerging Scenarios and Challenges by Mr G. A. Patel (11 May 1987),1987,https://indianliberals.in/forum-of-free-enterprise/the-stock-exchanges-in-india-the-emerging-scenarios-and-challenges-g-a-patel-may-11-1987.pdf,https://indianliberals.in/content/the-stock-exchanges-in-india-the-emerging-scenarios-and-challenges-by-mr-g-a-patel-11-may-1987/
forum-of-free-enterprise,the-supreme-court-judgement-in-the-judges-case-n-a-palkhivala-february-15-1982.pdf,exact,the-supreme-courts-judgement-in-the-judges-case-by-n-a-palkhivala-15-february-1982,The Supreme Court's judgement in the judges' case by N.A. Palkhivala (15 February 1982),1982,https://indianliberals.in/forum-of-free-enterprise/the-supreme-court-judgement-in-the-judges-case-n-a-palkhivala-february-15-1982.pdf,https://indianliberals.in/content/the-supreme-courts-judgement-in-the-judges-case-by-n-a-palkhivala-15-february-1982/
forum-of-free-enterprise,the-supreme-courts-judgement-on-the-constitution-42-amendment-act-1976-n-a-palkhivala-june-20-1980.pdf,exact,the-supreme-courts-judgement-on-the-constitution-42nd-amendment-act-1976-by-n-a-palkhivala-june-20-1980,"The Supreme Court's Judgement on the Constitution (42nd Amendment) Act, 1976 by N.A Palkhivala (June 20, 1980)",1976,https://indianliberals.in/forum-of-free-enterprise/the-supreme-courts-judgement-on-the-constitution-42-amendment-act-1976-n-a-palkhivala-june-20-1980.pdf,https://indianliberals.in/content/the-supreme-courts-judgement-on-the-constitution-42nd-amendment-act-1976-by-n-a-palkhivala-june-20-1980/
forum-of-free-enterprise,the-task-before-the-monopiles-v-k-narasimhan-sept9-1964.pdf,exact,the-task-for-the-monopolies-commission-by-v-k-narasimhan-sept-9-1964,"The Task for the Monopolies Commission by V. K. Narasimhan (September 9, 1964)",1964,https://indianliberals.in/forum-of-free-enterprise/the-task-before-the-monopiles-v-k-narasimhan-sept9-1964.pdf,https://indianliberals.in/content/the-task-for-the-monopolies-commission-by-v-k-narasimhan-sept-9-1964/
forum-of-free-enterprise,the-tasks-before-a-free-people-n-a-palkhivala-may-20-1977.pdf,exact,the-tasks-before-a-free-people-by-n-a-palkhivala-may-20-1977,"The Tasks Before A Free People by N. A. Palkhivala (May 20, 1977)",1977,https://indianliberals.in/forum-of-free-enterprise/the-tasks-before-a-free-people-n-a-palkhivala-may-20-1977.pdf,https://indianliberals.in/content/the-tasks-before-a-free-people-by-n-a-palkhivala-may-20-1977/
forum-of-free-enterprise,the-taxation-amendment-laws-1973-h-p-ranina-14-august-1973.pdf,exact,the-taxation-laws-amendment-bill-1973-by-h-p-ranina-14-august-1973,"THE TAXATION LAWS (AMENDMENT) BILL, 1973 by H. P. Ranina (14 August 1973)",1973,https://indianliberals.in/forum-of-free-enterprise/the-taxation-amendment-laws-1973-h-p-ranina-14-august-1973.pdf,https://indianliberals.in/content/the-taxation-laws-amendment-bill-1973-by-h-p-ranina-14-august-1973/
forum-of-free-enterprise,the-transport-bottleneck-a-d-shroff-january-1-1970.pdf,exact,the-transport-bottleneck-by-a-d-shroff-january-1-1970,"The Transport Bottleneck by A. D. Shroff (January 1, 1970)",1970,https://indianliberals.in/forum-of-free-enterprise/the-transport-bottleneck-a-d-shroff-january-1-1970.pdf,https://indianliberals.in/content/the-transport-bottleneck-by-a-d-shroff-january-1-1970/
forum-of-free-enterprise,the-union-budget-1968-69-n-a-palkhivala-april-14-1968.pdf,exact,the-union-budget-1968-69-by-n-a-palkhivala-14-april-1968,The Union Budget- 1968-69 by N.A. Palkhivala (14 April 1968),1968,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1968-69-n-a-palkhivala-april-14-1968.pdf,https://indianliberals.in/content/the-union-budget-1968-69-by-n-a-palkhivala-14-april-1968/
forum-of-free-enterprise,the-union-budget-1969-70-n-a-palkhivala-march-10-1969.pdf,exact,the-union-budget-1969-70-by-n-a-palkhivala-10-march-1969,The Union Budget- 1969-70 by N.A. Palkhivala (10 March 1969),1969,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1969-70-n-a-palkhivala-march-10-1969.pdf,https://indianliberals.in/content/the-union-budget-1969-70-by-n-a-palkhivala-10-march-1969/
forum-of-free-enterprise,the-union-budget-1970-n-a-palkhiavala-april-15-1970.pdf,exact,the-union-budget1970-71-by-n-a-palkhivala-april-15-1970,"The Union Budget:1970-71 by N.A.Palkhivala (April 15, 1970)",1970,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1970-n-a-palkhiavala-april-15-1970.pdf,https://indianliberals.in/content/the-union-budget1970-71-by-n-a-palkhivala-april-15-1970/
forum-of-free-enterprise,the-union-budget-1971-72-n-a-palkhivala-15-june-1971.pdf,exact,the-union-budget-1971-72-by-n-a-palkhivala-15-june-1971,The Union Budget (1971-72) by N.A Palkhivala ( 15 June 1971),1971,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1971-72-n-a-palkhivala-15-june-1971.pdf,https://indianliberals.in/content/the-union-budget-1971-72-by-n-a-palkhivala-15-june-1971/
forum-of-free-enterprise,the-union-budget-1972-1973-n-a-palkhivala-april-20-1972.pdf,exact,the-union-budget-1972-73-by-n-a-palkhivala-20-april-1972,The Union Budget 1972-73 by N.A. Palkhivala (20 April 1972),1972,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1972-1973-n-a-palkhivala-april-20-1972.pdf,https://indianliberals.in/content/the-union-budget-1972-73-by-n-a-palkhivala-20-april-1972/
forum-of-free-enterprise,the-union-budget-1973-74-n-a-palkhivala-april-1973.pdf,exact,the-union-budget-1973-74-by-n-a-palkhivala-april-1973,"The Union Budget, 1973-74 by N. A. Palkhivala (April 1973)",1973,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1973-74-n-a-palkhivala-april-1973.pdf,https://indianliberals.in/content/the-union-budget-1973-74-by-n-a-palkhivala-april-1973/
forum-of-free-enterprise,the-union-budget-1974-75-n-a-palkhivala-march-1974.pdf,exact,the-union-budget-1974-75-by-n-a-palkhivala-5th-march-1974,THE UNION BUDGET 1974-75 by N. A. Palkhivala (5th March 1974),1974,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1974-75-n-a-palkhivala-march-1974.pdf,https://indianliberals.in/content/the-union-budget-1974-75-by-n-a-palkhivala-5th-march-1974/
forum-of-free-enterprise,the-union-budget-1975-76-n-a-palkhivala-25-march-1975.pdf,exact,the-union-budget-1975-76-by-n-a-palkhivala-25-march-1975,The Union Budget 1975-76 by N. A. Palkhivala (25 March 1975),1975,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1975-76-n-a-palkhivala-25-march-1975.pdf,https://indianliberals.in/content/the-union-budget-1975-76-by-n-a-palkhivala-25-march-1975/
forum-of-free-enterprise,the-union-budget-1976-77-n-a-palkhivala-20-april-1976.pdf,exact,the-union-budget-1976-77-by-n-a-palkhivala-20-april-1976,The Union Budget 1976-77 by N. A. Palkhivala (20 April 1976),1976,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1976-77-n-a-palkhivala-20-april-1976.pdf,https://indianliberals.in/content/the-union-budget-1976-77-by-n-a-palkhivala-20-april-1976/
forum-of-free-enterprise,the-union-budget-1977-78-n-a-palkhivala-july-20-1977.pdf,exact,the-union-budget-1977-78-by-n-a-palkhivala-july-20-1977,"The Union Budget 1977-78 by N. A. Palkhivala (July 20, 1977)",1977,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1977-78-n-a-palkhivala-july-20-1977.pdf,https://indianliberals.in/content/the-union-budget-1977-78-by-n-a-palkhivala-july-20-1977/
forum-of-free-enterprise,the-union-budget-1980-81-n-a-palkhivala-july-20-1980.pdf,exact,the-union-budget-by-1980-81-by-n-a-palkhivala-20-july-1980,The Union Budget by 1980-81 by N.A. Palkhivala (20 July 1980),1980,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1980-81-n-a-palkhivala-july-20-1980.pdf,https://indianliberals.in/content/the-union-budget-by-1980-81-by-n-a-palkhivala-20-july-1980/
forum-of-free-enterprise,the-union-budget-1981-82-n-a-palkhivala-march-20-1981.pdf,exact,the-union-budget-by-1981-82-by-n-a-palkhivala-20-march-1981,The Union Budget by 1981-82 by N.A. Palkhivala (20 March 1981),1981,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1981-82-n-a-palkhivala-march-20-1981.pdf,https://indianliberals.in/content/the-union-budget-by-1981-82-by-n-a-palkhivala-20-march-1981/
forum-of-free-enterprise,the-union-budget-1982-83-and-a-budget-of-my-dreams-n-a-palkhivala-march-20-1982.pdf,exact,the-union-budget-1982-83-and-a-budget-of-my-dreams-by-n-a-palkhivala-20-march-1982,The Union Budget 1982-83 and a Budget of my dreams by N.A. Palkhivala (20 March 1982),1982,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1982-83-and-a-budget-of-my-dreams-n-a-palkhivala-march-20-1982.pdf,https://indianliberals.in/content/the-union-budget-1982-83-and-a-budget-of-my-dreams-by-n-a-palkhivala-20-march-1982/
forum-of-free-enterprise,the-union-budget-1983-84-n-a-palkhivala-march-20-1983.pdf,exact,the-union-budget-1983-84-by-n-a-palkhivala-20-march-1983,The Union Budget 1983-84 by N.A. Palkhivala (20 March 1983),1983,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1983-84-n-a-palkhivala-march-20-1983.pdf,https://indianliberals.in/content/the-union-budget-1983-84-by-n-a-palkhivala-20-march-1983/
forum-of-free-enterprise,the-union-budget-1983-84-proposals-will-weaken-industry-h-p-ranina-april-12-1983.pdf,exact,union-budget-1983-84-proposals-will-weaken-industry-by-h-p-ranina-12-april-1983,Union Budget (1983-84) proposals will weaken industry by H.P. Ranina (12 April 1983),1983,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1983-84-proposals-will-weaken-industry-h-p-ranina-april-12-1983.pdf,https://indianliberals.in/content/union-budget-1983-84-proposals-will-weaken-industry-by-h-p-ranina-12-april-1983/
forum-of-free-enterprise,the-union-budget-1990-91-by-na-palkhivala-april-20-1990.pdf,exact,the-union-budget-1990-91-by-n-a-palkhivala-april-20-1990,"The Union Budget 1990-91 by N.A. Palkhivala (April 20, 1990)",1990,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1990-91-by-na-palkhivala-april-20-1990.pdf,https://indianliberals.in/content/the-union-budget-1990-91-by-n-a-palkhivala-april-20-1990/
forum-of-free-enterprise,the-union-budget-1992-93-by-na-palkhivala-march-3-1992.pdf,exact,the-union-budget-1992-93-by-n-a-palkhivala-march-3-1992,"The Union Budget 1992-93 by N.A. Palkhivala (March 3, 1992)",1992,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1992-93-by-na-palkhivala-march-3-1992.pdf,https://indianliberals.in/content/the-union-budget-1992-93-by-n-a-palkhivala-march-3-1992/
forum-of-free-enterprise,the-union-budget-1993-94-by-nani-a-palkhiwala-march-20-1993.pdf,exact,the-union-budget-1993-94-by-nani-a-palkhiwala-march-20-1993,"The Union Budget 1993-94 by Nani A. Palkhiwala (March 20, 1993)",1993,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1993-94-by-nani-a-palkhiwala-march-20-1993.pdf,https://indianliberals.in/content/the-union-budget-1993-94-by-nani-a-palkhiwala-march-20-1993/
forum-of-free-enterprise,the-union-budget-1993-94-laying-the-foundation-for-an-economic-miracle-by-HP-ranina-april-13-1993.pdf,exact,the-union-budget-1993-94-laying-the-foundation-for-an-economic-miracle-by-h-p-ranina-april-13-1993,"The Union Budget 1993-94: Laying the Foundation for an Economic Miracle by H.P. Ranina (April 13, 1993)",1993,https://indianliberals.in/forum-of-free-enterprise/the-union-budget-1993-94-laying-the-foundation-for-an-economic-miracle-by-HP-ranina-april-13-1993.pdf,https://indianliberals.in/content/the-union-budget-1993-94-laying-the-foundation-for-an-economic-miracle-by-h-p-ranina-april-13-1993/
